Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Norway,2022,7.295,11.111,0.927,71.55,0.939,0.185,0.314
Paraguay,2020,5.501,9.497,0.907,65.85,0.865,0.056,0.829
Paraguay,2021,5.576,9.524,0.908,65.9,0.888,0.017,0.857
Paraguay,2022,6.138,9.508,0.899,65.95,0.922,-0.011,0.839
Peru,2020,4.994,9.322,0.749,69.675,0.806,-0.091,0.912
Peru,2021,5.694,9.435,0.819,69.85,0.812,-0.087,0.88
Peru,2022,5.892,9.449,0.823,70.025,0.764,-0.178,0.884
Poland,2020,6.139,10.39,0.953,68.875,0.767,-0.012,0.787
Poland,2021,5.978,10.461,0.936,69.05,0.732,0.124,0.744
Poland,2022,6.666,10.509,0.886,69.225,0.8,-0.207,0.667
Portugal,2020,5.768,10.374,0.875,71.125,0.913,-0.242,0.867
Portugal,2021,6.183,10.424,0.895,71.25,0.892,-0.209,0.872
Portugal,2022,5.953,10.487,0.862,71.375,0.903,-0.137,0.893
Romania,2020,6.785,10.277,0.869,66.925,0.863,-0.159,0.918
Romania,2021,6.549,10.335,0.835,67.05,0.871,-0.184,0.928
Romania,2022,6.437,10.404,0.83,67.175,0.836,-0.172,0.941
Russia,2020,5.495,10.188,0.887,64.575,0.714,-0.076,0.823
Russia,2021,5.448,10.239,0.862,64.95,0.671,0.056,0.808
Russia,2022,6.044,10.203,0.92,65.325,0.776,-0.07,0.767
Saudi Arabia,2020,6.56,10.666,0.89,64.2,0.884,-0.112,0.884
Saudi Arabia,2021,6.445,10.7,0.859,64.4,0.902,-0.102,0.884
Saudi Arabia,2022,6.382,10.781,0.9,64.6,0.818,-0.027,0.884
Senegal,2020,4.757,8.127,0.621,59.7,0.797,-0.049,0.855
Senegal,2021,4.903,8.159,0.645,60.0,0.759,0.03,0.821
Senegal,2022,4.907,8.18,0.609,60.3,0.758,0.052,0.854
Slovenia,2020,6.462,10.521,0.953,70.875,0.958,-0.089,0.797
Slovenia,2021,6.761,10.598,0.955,71.05,0.851,0.027,0.754
Slovenia,2022,6.723,10.644,0.942,71.225,0.93,0.101,0.762
South Korea,2020,5.793,10.655,0.808,73.375,0.711,-0.111,0.665
South Korea,2021,6.113,10.697,0.811,73.65,0.717,-0.031,0.685
South Korea,2022,5.95,10.726,0.81,73.925,0.723,0.003,0.747
Spain,2020,6.502,10.49,0.935,72.225,0.783,-0.125,0.73
Spain,2021,6.47,10.543,0.926,72.35,0.782,-0.074,0.729
Spain,2022,6.337,10.587,0.934,72.475,0.781,0.001,0.673
Sweden,2020,7.314,10.846,0.936,72.025,0.951,0.086,0.203
Sweden,2021,7.439,10.89,0.932,72.15,0.953,0.174,0.191
Sweden,2022,7.431,10.913,0.949,72.275,0.939,0.234,0.213
Switzerland,2020,7.508,11.137,0.946,72.7,0.917,-0.072,0.28
Switzerland,2021,7.328,11.171,0.934,72.9,0.908,0.024,0.287
Switzerland,2022,6.884,11.184,0.881,73.1,0.848,0.128,0.235
Taiwan Province of China,2020,6.751,8.127,0.901,66.6,0.799,-0.125,0.711
Taiwan Province of China,2021,6.247,8.127,0.866,66.6,0.818,-0.125,0.675
Taiwan Province of China,2022,6.607,8.127,0.883,66.6,0.8,-0.125,0.658
Tanzania,2020,3.786,7.844,0.74,58.95,0.83,0.296,0.521
Tanzania,2021,3.681,7.856,0.619,59.4,0.822,0.113,0.546
Tanzania,2022,3.616,7.872,0.6,59.85,0.856,0.136,0.584
Thailand,2020,5.885,9.732,0.867,68.375,0.84,0.272,0.918
Thailand,2021,5.638,9.745,0.883,68.45,0.836,0.293,0.943
Thailand,2022,6.007,9.777,0.867,68.525,0.881,0.301,0.868
Tunisia,2020,4.731,9.215,0.719,66.95,0.668,-0.204,0.877
Tunisia,2021,4.499,9.249,0.711,67.0,0.591,-0.203,0.933
Tunisia,2022,4.261,9.266,0.755,67.05,0.474,-0.231,0.908
Ukraine,2020,5.27,9.426,0.885,64.425,0.784,0.123,0.946
Ukraine,2021,5.311,9.468,0.879,64.55,0.77,0.169,0.922
Ukraine,2022,4.637,9.049,0.863,64.675,0.829,0.428,0.852
United Arab Emirates,2020,6.458,11.122,0.827,66.15,0.942,0.05,0.884
United Arab Emirates,2021,6.733,11.152,0.826,66.3,0.951,0.151,0.884
United Arab Emirates,2022,6.738,11.202,0.798,66.45,0.932,0.171,0.884
United Kingdom,2020,6.798,10.645,0.929,70.2,0.885,0.197,0.49
United Kingdom,2021,6.867,10.714,0.854,70.3,0.815,0.254,0.448
United Kingdom,2022,6.722,10.754,0.863,70.4,0.857,0.309,0.426
United States,2020,7.028,11.005,0.937,65.975,0.85,0.029,0.678
United States,2021,6.959,11.061,0.92,65.85,0.816,0.19,0.687
United States,2022,6.693,11.079,0.9,65.725,0.736,0.191,0.701
Uruguay,2020,6.31,9.991,0.921,67.5,0.908,-0.091,0.491
Uruguay,2021,6.502,10.035,0.914,67.5,0.899,-0.051,0.606
Uruguay,2022,6.671,10.084,0.905,67.5,0.878,-0.052,0.631
Uzbekistan,2020,5.842,8.902,0.85,65.0,0.928,0.193,0.642
Uzbekistan,2021,6.185,8.953,0.896,65.3,0.927,0.186,0.662
Uzbekistan,2022,6.016,8.99,0.879,65.6,0.959,0.309,0.616
Venezuela,2020,4.574,8.127,0.805,64.225,0.612,-0.125,0.811
Venezuela,2021,5.108,8.127,0.812,64.05,0.596,-0.125,0.824
Venezuela,2022,5.949,8.127,0.899,63.875,0.77,-0.125,0.798
Vietnam,2020,5.462,9.254,0.765,65.4,0.945,0.066,0.791
Vietnam,2021,5.54,9.271,0.799,65.5,0.897,0.107,0.798
Vietnam,2022,6.267,9.333,0.879,65.6,0.975,-0.179,0.703
Zimbabwe,2020,3.16,7.596,0.717,53.575,0.643,0.006,0.789
Zimbabwe,2021,3.155,7.657,0.685,54.05,0.668,-0.076,0.757
Zimbabwe,2022,3.296,7.67,0.666,54.525,0.652,-0.07,0.753
